id_hora,hora,minuto,verano
00s,0,0,s
00n,0,0,n
01s,0,1,s
01n,0,1,n
02s,0,2,s
02n,0,2,n
03s,0,3,s
03n,0,3,n
04s,0,4,s
04n,0,4,n
05s,0,5,s
05n,0,5,n
06s,0,6,s
06n,0,6,n
07s,0,7,s
07n,0,7,n
08s,0,8,s
08n,0,8,n
09s,0,9,s
09n,0,9,n
010s,0,10,s
010n,0,10,n
011s,0,11,s
011n,0,11,n
012s,0,12,s
012n,0,12,n
013s,0,13,s
013n,0,13,n
014s,0,14,s
014n,0,14,n
015s,0,15,s
015n,0,15,n
016s,0,16,s
016n,0,16,n
017s,0,17,s
017n,0,17,n
018s,0,18,s
018n,0,18,n
019s,0,19,s
019n,0,19,n
020s,0,20,s
020n,0,20,n
021s,0,21,s
021n,0,21,n
022s,0,22,s
022n,0,22,n
023s,0,23,s
023n,0,23,n
024s,0,24,s
024n,0,24,n
025s,0,25,s
025n,0,25,n
026s,0,26,s
026n,0,26,n
027s,0,27,s
027n,0,27,n
028s,0,28,s
028n,0,28,n
029s,0,29,s
029n,0,29,n
030s,0,30,s
030n,0,30,n
031s,0,31,s
031n,0,31,n
032s,0,32,s
032n,0,32,n
033s,0,33,s
033n,0,33,n
034s,0,34,s
034n,0,34,n
035s,0,35,s
035n,0,35,n
036s,0,36,s
036n,0,36,n
037s,0,37,s
037n,0,37,n
038s,0,38,s
038n,0,38,n
039s,0,39,s
039n,0,39,n
040s,0,40,s
040n,0,40,n
041s,0,41,s
041n,0,41,n
042s,0,42,s
042n,0,42,n
043s,0,43,s
043n,0,43,n
044s,0,44,s
044n,0,44,n
045s,0,45,s
045n,0,45,n
046s,0,46,s
046n,0,46,n
047s,0,47,s
047n,0,47,n
048s,0,48,s
048n,0,48,n
049s,0,49,s
049n,0,49,n
050s,0,50,s
050n,0,50,n
051s,0,51,s
051n,0,51,n
052s,0,52,s
052n,0,52,n
053s,0,53,s
053n,0,53,n
054s,0,54,s
054n,0,54,n
055s,0,55,s
055n,0,55,n
056s,0,56,s
056n,0,56,n
057s,0,57,s
057n,0,57,n
058s,0,58,s
058n,0,58,n
059s,0,59,s
059n,0,59,n
10s,1,0,s
10n,1,0,n
11s,1,1,s
11n,1,1,n
12s,1,2,s
12n,1,2,n
13s,1,3,s
13n,1,3,n
14s,1,4,s
14n,1,4,n
15s,1,5,s
15n,1,5,n
16s,1,6,s
16n,1,6,n
17s,1,7,s
17n,1,7,n
18s,1,8,s
18n,1,8,n
19s,1,9,s
19n,1,9,n
110s,1,10,s
110n,1,10,n
111s,1,11,s
111n,1,11,n
112s,1,12,s
112n,1,12,n
113s,1,13,s
113n,1,13,n
114s,1,14,s
114n,1,14,n
115s,1,15,s
115n,1,15,n
116s,1,16,s
116n,1,16,n
117s,1,17,s
117n,1,17,n
118s,1,18,s
118n,1,18,n
119s,1,19,s
119n,1,19,n
120s,1,20,s
120n,1,20,n
121s,1,21,s
121n,1,21,n
122s,1,22,s
122n,1,22,n
123s,1,23,s
123n,1,23,n
